UniqueId,CallingNumber,CalledNumber,CallStartTime,CallDuration,Dispostion,CallType,Channel,DstChannel,Latitude,Longitude,Region
7057,3659778412,3458611236,2015-08-02 16:28:06,256,REJECTED,SMS,136806684-4,441877388-6,39.19009,117.1978,Naples
1524,3698748211,3122560004,2015-10-22 01:06:31,110,BUSY,SMS,353900640-0,455608505-5,37.99944,67.7875,Venice
1896,3265978451,3200056596,2015-09-20 09:45:26,100,FAILED,SMS,269727666-1,208164585-8,-12.97395,40.51775,Milan
1867,3265487965,3458611236,2015-11-07 00:26:05,256,MISSED,SMS,547933522-7,416657550-3,51.05011,-114.08529,Florence
2961,3659778412,3899600054,2015-11-18 10:18:24,789,MISSED,SMS,487475041-9,423167485-X,-8.147,113.4298,Florence
3630,3659778412,3568900007,2015-11-21 22:32:17,780,REJECTED,VOICE,969403527-9,105328151-X,-8.2714,113.5055,Venice
6489,3256987456,3504003456,2015-10-02 14:40:26,789,BUSY,SMS,003602839-8,836464629-X,30.01283,115.71689,Genoa
5933,3569874514,3504003456,2015-12-05 23:50:04,456,FAILED,SMS,471438731-6,549478059-7,29.3375,47.65806,Venice
4279,3256867412,3256015004,2015-09-13 10:23:03,100,REJECTED,SMS,132983320-1,655531001-4,48.7461,2.3527,Genoa
8978,3256987456,3999756035,2015-09-07 15:18:30,256,FAILED,VOICE,805646246-5,098728807-5,18.78333,-69.46667,Genoa
2689,3659778412,3999756035,2015-09-14 19:45:16,365,FAILED,SMS,935557569-6,094929559-0,21.95907,103.88001,Naples
5284,3659778412,3899600054,2015-08-10 00:38:46,120,BUSY,VOICE,816571736-7,725197901-2,23.35278,112.89639,Milan
5700,3569874514,3899600054,2015-12-19 16:35:16,122,BUSY,SMS,272507443-6,991058621-5,41.40167,128.17778,Milan
3040,3659778412,3568900007,2015-12-23 10:09:37,111,BUSY,VOICE,409100002-9,990198235-9,34.74999,69.11899,Aosta
8973,3560891267,3689000589,2015-11-25 00:09:55,456,BUSY,VOICE,436517628-5,273741141-6,-22.70861,-42.60972,Milan
9648,3659778412,3568040046,2015-11-19 02:59:28,456,ANSWERED,SMS,922378497-2,828131802-3,33.89152,9.79629,Venice
5609,3659778412,3256015004,2015-11-06 08:31:45,110,FAILED,VOICE,399480270-9,136547523-9,-7.2594,108.6108,Venice
8164,3216549870,3200056596,2015-11-22 18:19:12,365,BUSY,VOICE,382545963-2,743098369-3,-22.89889,-49.6325,Aosta
9560,3695847123,3200056596,2015-12-04 03:59:23,110,MISSED,SMS,530625847-6,819814316-5,-7.513,108.6537,Venice
9002,3698748211,3200056596,2015-11-11 19:54:24,326,ANSWERED,VOICE,922567490-2,463182748-3,-32.68478,-61.51637,Rome
3542,3569874514,3899600054,2015-08-26 20:08:27,256,REJECTED,SMS,308944538-7,371702171-0,14.94607,120.9672,Rome
4663,3265487965,3568040046,2015-08-30 22:33:00,256,FAILED,VOICE,127465343-6,724728199-5,-32.36667,-57.85,Genoa
9236,3695847123,3200056596,2015-10-05 11:38:11,122,FAILED,VOICE,424182436-6,719854401-0,28.57652,109.63586,Genoa
3865,3256987456,3568040046,2015-11-24 23:11:01,256,BUSY,VOICE,750077568-7,474536182-3,15.7654,119.9092,Naples
3338,3265487965,3899600054,2015-09-30 21:04:04,458,BUSY,VOICE,318256138-3,291044228-4,22.05297,113.34283,Florence
1449,3695847123,3200056596,2015-11-29 16:28:33,326,REJECTED,VOICE,581436643-5,972462887-6,-8.7848,120.9744,Venice
9673,3987456213,3568040046,2015-09-02 12:41:58,365,ANSWERED,SMS,804118125-2,038683312-5,44.44874,18.20521,Rome
8580,3256987456,3504003456,2015-09-12 17:03:11,456,MISSED,VOICE,081980091-0,654616379-9,21.10345,105.54551,Venice
3466,3216549870,3659000450,2015-12-25 10:27:43,256,BUSY,SMS,302514105-0,584484454-8,-38.95161,-68.0591,Milan
7618,3987456213,3900026678,2015-12-08 18:08:22,458,FAILED,SMS,041990759-9,626036074-6,-7.18806,-79.51528,Milan
4743,3265978451,3899600054,2015-11-23 11:11:18,122,FAILED,VOICE,357760158-2,645110795-6,4.2825,117.9148,Milan
3639,3256987456,3122560004,2015-10-14 19:25:43,100,FAILED,VOICE,876585937-5,190863925-3,6.88333,7.63333,Florence
9871,3569874514,3200056596,2015-10-09 00:05:39,356,BUSY,VOICE,275462212-8,939176647-1,9.00194,-70.30139,Aosta
5528,3569874514,3999756035,2015-11-26 19:57:25,456,FAILED,SMS,115781735-1,532278805-0,-23.42528,-51.93861,Rome
1658,3265978451,3256015004,2015-10-11 08:11:50,455,ANSWERED,VOICE,293865594-0,707389508-X,37.27472,55.15889,Aosta
8248,3560891267,3122560004,2015-08-09 07:22:59,455,FAILED,VOICE,813131696-3,486414601-2,19.67798,97.20975,Naples
2120,3560891267,3659000450,2015-11-03 18:39:38,100,REJECTED,VOICE,002128655-8,700374554-2,53.99859,37.81792,Venice
7267,3216549870,3200056596,2015-11-05 18:56:20,111,MISSED,VOICE,341214411-8,719452934-3,37.81016,22.86972,Naples
4946,3695847123,3899600054,2015-08-14 14:31:21,220,MISSED,VOICE,622207290-9,499665338-8,52.59972,-8.97556,Naples
5477,3698748211,3200056596,2015-10-05 23:40:46,122,MISSED,SMS,888570261-9,888711321-1,49.09203,16.62933,Naples
4263,3987456213,3568040046,2015-08-04 20:53:39,256,FAILED,VOICE,574850037-X,588182273-0,26.18165,118.70928,Aosta
8874,3560891267,3504003456,2015-11-09 19:50:35,365,REJECTED,SMS,058486510-4,440649309-3,-6.75,23.95,Naples
2895,3216549870,3256015004,2015-10-09 14:45:51,789,MISSED,VOICE,822514321-3,902205114-5,38.85,20.95,Venice
5061,3256987456,3999756035,2015-10-08 11:06:24,122,MISSED,SMS,148714471-7,685520294-2,52.40677,22.25307,Milan
4188,3569874514,3789546235,2015-10-18 12:13:20,356,ANSWERED,SMS,941396343-6,802411248-5,47.5884,7.5625,Aosta
3968,3987456213,3568040046,2015-10-02 09:06:12,456,ANSWERED,VOICE,057340153-5,409855419-4,40.84782,68.50643,Genoa
2225,3659778412,3999756035,2015-09-12 20:39:25,110,ANSWERED,SMS,897884254-2,440153051-9,45.21583,20.21222,Naples
1133,3569874512,3504003456,2015-08-04 08:06:16,122,FAILED,VOICE,442642570-0,075153484-6,62.14444,117.63194,Venice
5336,3256987456,3659000450,2015-12-14 06:56:41,100,FAILED,VOICE,177546116-5,314468991-2,31.2069,121.28672,Venice
8578,3560891267,3659000450,2015-08-12 21:20:01,789,REJECTED,VOICE,570194184-1,222660715-3,30.07752,121.99572,Naples
2682,3695847123,3458611236,2015-10-22 08:26:09,455,MISSED,SMS,341473449-4,192351293-5,21.85264,106.76101,Genoa
3937,3569874514,3999756035,2015-09-16 09:41:31,365,BUSY,VOICE,492385528-2,802605412-1,25.32678,113.92701,Milan
9372,3216549870,3200056596,2015-08-21 14:32:24,365,BUSY,VOICE,126134296-8,193740122-7,50.41694,25.73432,Venice
4555,3987456213,3999756035,2015-11-28 00:29:28,256,REJECTED,VOICE,349565406-2,064845720-6,7.16992,79.88837,Naples
6909,3256987456,3689000589,2015-09-05 04:13:28,458,REJECTED,SMS,992844082-4,656715932-4,-7.3247,108.2057,Milan
9716,3659778412,3659000450,2015-10-26 15:38:31,120,REJECTED,SMS,590522685-7,169840690-8,50.00559,18.23576,Genoa
8805,3256987456,3504003456,2015-09-11 18:37:47,110,FAILED,SMS,241485195-3,165936585-6,30.29194,118.5425,Florence
3577,3256987456,3899600054,2015-11-23 14:32:06,365,BUSY,SMS,350845297-2,089934000-8,13.78005,100.54275,Aosta
5511,3256867412,3999756035,2015-12-12 08:31:14,122,ANSWERED,VOICE,563400405-5,714541067-2,-34.75647,-65.2538,Naples
5509,3256867412,3789546235,2015-10-25 19:27:42,100,ANSWERED,VOICE,505305265-4,649380591-0,42.57843,20.29398,Aosta
1523,3569874512,3256015004,2015-08-26 21:40:50,789,ANSWERED,SMS,174762205-2,794217574-X,44.16593,129.40527,Florence
5892,3695847123,3504003456,2015-10-04 21:08:09,220,REJECTED,VOICE,363222102-2,497833249-4,12.46084,121.01041,Florence
6187,3695847123,3689000589,2015-09-27 23:19:50,111,ANSWERED,SMS,438986697-4,220057964-0,32.31222,112.63653,Milan
6197,3659778412,3200056596,2015-10-04 06:47:43,110,REJECTED,SMS,898160166-6,227009694-0,40.13206,44.00969,Aosta
9347,3569874512,3899600054,2015-09-18 11:29:04,458,FAILED,VOICE,776810713-6,333539084-9,45.61278,18.53528,Florence
6981,3265978452,3200056596,2015-08-17 05:16:59,456,MISSED,SMS,555828186-3,862580723-2,1.531,110.3442,Aosta
2142,3695847123,3122560004,2015-11-05 07:51:47,456,ANSWERED,VOICE,183283000-4,755968465-3,29.30667,121.615,Florence
4526,3569874512,3789546235,2015-08-09 18:15:03,111,BUSY,SMS,783195120-2,120978695-8,-16.61306,-41.76528,Genoa
6199,3659778412,3256015004,2015-10-27 07:46:37,110,ANSWERED,VOICE,042723758-0,827507141-0,41.1278,-8.45,Naples
9810,3987456213,3122560004,2015-10-13 12:04:09,120,ANSWERED,SMS,683256269-1,411346560-6,-11.8058,-75.7165,Genoa
3323,3695847123,3789546235,2015-08-19 06:19:33,365,MISSED,SMS,484708582-5,783104483-3,31.75662,13.99422,Venice
6142,3216549870,3122560004,2015-10-25 23:37:04,110,MISSED,SMS,619396110-0,357344397-4,26.30613,115.209,Florence
3447,3695847123,3999756035,2015-12-28 22:50:40,256,MISSED,SMS,301541615-4,986029348-1,-0.8917,119.8707,Aosta
6576,3560891267,3689000589,2015-10-01 19:27:15,122,ANSWERED,SMS,385059240-5,526277583-7,29.61107,108.82546,Florence
5462,3569874512,3659000450,2015-09-24 06:25:34,365,ANSWERED,SMS,754278873-6,760469628-7,17.9,-71.23333,Naples
4812,3987456213,3568040046,2015-12-01 01:04:36,458,REJECTED,SMS,332468041-7,329697068-1,7.507,9.34804,Venice
8902,3659778412,3659000450,2015-09-20 17:35:37,220,BUSY,VOICE,202775710-4,105056501-0,41.15969,21.35963,Milan
6867,3216549870,3256015004,2015-12-10 13:40:50,780,REJECTED,VOICE,199042634-4,768226600-7,50.12139,100.04306,Venice
8429,3256867412,3504003456,2015-12-25 12:37:02,256,MISSED,VOICE,664533978-X,183254827-9,-6.8843,112.0387,Venice
2670,3265978451,3568040046,2015-09-05 04:04:08,220,BUSY,SMS,422546689-2,645064733-7,49.03828,16.91757,Milan
2744,3987456213,3122560004,2015-10-23 08:36:29,458,REJECTED,SMS,147064207-7,037985951-3,52.79306,-6.14139,Naples
5306,3987456213,3900026678,2015-08-02 01:28:20,780,BUSY,VOICE,099301405-4,019920674-0,59.8585,17.6454,Venice
3900,3987456213,3899600054,2015-08-18 23:02:04,110,BUSY,SMS,643801411-7,818629075-3,58.62833,25.54833,Rome
4206,3569874514,3458611236,2015-11-06 13:27:19,780,ANSWERED,SMS,682823569-X,637031001-8,49.69472,13.25693,Venice
3670,3560891267,3504003456,2015-08-17 16:58:58,455,ANSWERED,SMS,177072553-9,453449445-9,53.77166,38.12408,Genoa
6495,3265487965,3256015004,2015-11-03 11:55:11,365,MISSED,SMS,016541131-7,594265913-3,58.4,15.0833,Milan
9526,3265487965,3200056596,2015-12-16 09:50:42,120,ANSWERED,VOICE,925321541-0,571471648-5,35.84613,102.48171,Rome
8851,3256987456,3568900007,2015-11-16 05:47:22,356,REJECTED,SMS,006309726-5,839250474-7,19.11938,-70.40632,Venice
8963,3569874514,3504003456,2015-11-19 09:47:34,256,REJECTED,SMS,659711182-6,476899907-7,49.67488,12.67366,Venice
9584,3698748211,3256015004,2015-09-13 12:42:00,100,MISSED,SMS,290522492-4,048377237-2,51.20672,15.8004,Aosta
2717,3265978452,3504003456,2015-08-02 06:51:27,220,REJECTED,SMS,707375019-7,575869100-3,27.98538,116.35646,Rome
1949,3569874514,3504003456,2015-09-06 04:54:03,256,BUSY,SMS,902658519-5,201911938-2,-7.18495,113.50247,Rome
9646,3256987456,3689000589,2015-09-12 10:59:02,356,FAILED,SMS,079013308-3,298389500-9,59.1677,18.1448,Rome
5176,3265978452,3568040046,2015-10-21 23:58:56,220,FAILED,VOICE,578490330-6,135370150-6,58.9125,11.9253,Milan
3030,3265978452,3899600054,2015-09-29 04:12:51,456,MISSED,VOICE,439945442-3,249111980-3,47.6703,-2.9918,Naples
8658,3569874512,3504003456,2015-08-11 03:42:31,110,FAILED,SMS,912208667-6,299641963-4,29.39986,107.29652,Florence
2095,3569874514,3999756035,2015-10-16 04:36:28,455,REJECTED,SMS,558867038-8,501787183-7,-7.3343,108.2221,Naples
8466,3265487965,3789546235,2015-09-23 10:52:21,456,ANSWERED,VOICE,478792724-8,403433500-9,48.88877,30.69482,Florence
6242,3659778412,3689000589,2015-09-06 21:46:12,111,MISSED,SMS,001952939-2,587527523-5,33.88146,10.0982,Florence
4602,3569874514,3200056596,2015-10-25 15:29:26,220,FAILED,VOICE,834816674-2,727269660-5,28.25569,108.0381,Naples
6037,3560891267,3504003456,2015-09-09 14:32:02,365,FAILED,VOICE,659866230-3,703858780-3,58.8524,5.7352,Milan
1614,3256987456,3659000450,2015-12-10 04:27:35,365,REJECTED,SMS,979302647-2,934176576-5,48.1171,11.5393,Venice
5928,3265978451,3900026678,2015-11-25 23:37:28,458,BUSY,SMS,286408969-6,124055216-5,23.16257,113.40685,Florence
1662,3265978452,3568040046,2015-12-15 03:45:21,326,ANSWERED,VOICE,992419642-2,160064065-6,-20.496,57.55,Genoa
5083,3569874512,3789546235,2015-12-09 04:07:07,458,BUSY,SMS,010666081-0,850925938-0,42.90573,73.26972,Aosta
4348,3698748211,3789546235,2015-09-29 01:20:58,110,ANSWERED,SMS,222272103-2,363452617-3,13.56271,7.04848,Florence
1624,3569874512,3689000589,2015-12-13 03:17:29,326,REJECTED,VOICE,854485023-5,997031811-X,8.81667,40.51667,Naples
8632,3265487965,3200056596,2015-10-09 21:09:35,256,REJECTED,VOICE,461041872-X,162071361-6,46.0776,127.13155,Milan
3750,3698748211,3900026678,2015-09-30 09:16:35,789,BUSY,SMS,197229298-6,357191791-X,53.72256,14.28961,Genoa
5698,3256867412,3568040046,2015-08-05 12:42:38,122,FAILED,VOICE,410415110-6,154592587-9,34.68885,103.35242,Rome
7590,3659778412,3659000450,2015-11-02 09:01:17,356,REJECTED,VOICE,642641595-2,576704655-7,49.45389,28.52608,Milan
9378,3987456213,3999756035,2015-10-14 11:07:46,456,FAILED,SMS,976472976-2,323026657-9,41.1609,-8.3136,Naples
1033,3695847123,3200056596,2015-08-16 08:18:36,111,MISSED,VOICE,845117978-9,935526889-0,-7.3781,108.1351,Naples
1357,3265978451,3999756035,2015-08-07 20:09:45,110,ANSWERED,VOICE,313141230-5,502601561-1,15.963,120.42251,Venice
4199,3695847123,3789546235,2015-12-08 20:33:04,120,REJECTED,SMS,428302652-2,121247272-1,45.0159,-93.4719,Milan
1415,3216549870,3568900007,2015-08-12 00:17:01,458,FAILED,SMS,125953976-8,775155679-X,5.63506,5.88956,Venice
1527,3698748211,3568900007,2015-08-05 08:35:55,455,BUSY,VOICE,581114666-3,048104341-1,28.98299,118.65732,Genoa
9587,3256987456,3900026678,2015-10-28 21:54:56,356,REJECTED,VOICE,183471948-8,636406612-7,20.4006,-102.7392,Genoa
3878,3987456213,3200056596,2015-10-16 16:19:10,111,MISSED,VOICE,329876241-5,760780447-1,48.1212,-1.603,Venice
5023,3265978451,3122560004,2015-08-03 07:19:42,365,MISSED,VOICE,306498583-3,173331190-4,36.3,139.11667,Naples
9159,3265978452,3200056596,2015-08-16 04:51:24,455,BUSY,SMS,434678037-7,709708769-2,53.15694,-6.96667,Venice
5285,3265978451,3999756035,2015-10-02 16:52:05,780,MISSED,VOICE,477710181-9,701797892-7,42.10667,21.10889,Milan
1924,3569874512,3659000450,2015-08-15 00:12:50,256,BUSY,SMS,782273205-6,133791109-7,-25.36556,-49.07694,Florence
5870,3265487965,3900026678,2015-11-18 04:43:04,110,REJECTED,SMS,028891478-3,350109583-X,55.5005,46.41288,Rome
5199,3265978451,3568900007,2015-12-29 09:15:40,110,REJECTED,SMS,113048194-8,629471926-7,-7.1478,108.3789,Rome
5698,3695847123,3504003456,2015-10-04 09:33:11,780,REJECTED,SMS,347944819-4,403993962-X,9.45588,-64.82928,Rome
4222,3265978452,3458611236,2015-09-05 13:38:33,456,MISSED,VOICE,649515518-2,381143239-7,50.00559,18.23576,Florence
4516,3569874512,3789546235,2015-09-24 07:16:52,220,BUSY,VOICE,543985686-2,510303120-5,41.56667,70.01667,Venice
4067,3265978451,3504003456,2015-12-05 00:40:12,111,FAILED,VOICE,184631431-3,962020350-X,9.44394,-78.58666,Florence
1119,3216549870,3899600054,2015-12-04 21:40:26,365,BUSY,VOICE,400007829-1,925158774-4,-4.05466,39.66359,Genoa
7601,3216549870,3568900007,2015-09-12 17:33:47,455,BUSY,SMS,626746374-5,970790924-2,34.73414,66.95292,Genoa
2400,3987456213,3999756035,2015-11-01 19:46:23,120,MISSED,SMS,465414691-1,002264818-6,44.87083,20.64028,Venice
8230,3265978452,3200056596,2015-09-28 17:02:47,111,BUSY,SMS,048185566-1,566123019-2,58.6706,17.1015,Rome
2863,3560891267,3789546235,2015-09-16 02:21:39,111,ANSWERED,VOICE,179760188-1,222403439-3,15.08333,-86.38333,Aosta
3034,3987456213,3504003456,2015-09-10 13:28:23,111,ANSWERED,SMS,016914819-X,714843670-2,59.37331,28.61343,Venice
3118,3695847123,3504003456,2015-10-12 06:40:27,789,ANSWERED,VOICE,936273468-0,911482232-6,41.58333,25.13333,Genoa
2531,3265978452,3122560004,2015-09-01 16:57:02,220,MISSED,VOICE,857444312-3,676307074-8,50.51809,30.80671,Venice
4090,3569874514,3689000589,2015-08-15 23:35:11,120,FAILED,VOICE,326582623-6,906071333-8,-22.84694,-45.22972,Naples
3526,3659778412,3200056596,2015-09-08 12:04:51,780,ANSWERED,VOICE,839055293-0,648032969-4,-6.9571,113.9711,Rome
1780,3698748211,3689000589,2015-10-08 02:27:33,120,FAILED,SMS,257133797-1,026590986-4,32.76916,119.73807,Venice
6835,3659778412,3899600054,2015-12-18 20:14:35,780,BUSY,SMS,439495304-9,330324066-3,20.5592,-103.4308,Genoa
8822,3265978451,3504003456,2015-08-12 08:57:27,256,REJECTED,VOICE,203397035-3,157048094-X,4.94273,15.87735,Venice
1883,3216549870,3789546235,2015-11-15 19:25:57,100,MISSED,SMS,181000863-8,866490520-7,20.3028,-97.4367,Rome
8548,3216549870,3504003456,2015-10-27 09:17:09,356,BUSY,VOICE,941141072-3,863026736-4,46.25,110.83333,Naples
1370,3569874512,3789546235,2015-10-14 23:49:16,100,FAILED,VOICE,795050701-2,665440725-3,41.61558,42.87224,Venice
1292,3987456213,3900026678,2015-08-19 09:24:57,365,ANSWERED,SMS,587121953-5,370574458-5,43.6223,7.0472,Venice
9564,3987456213,3689000589,2015-11-06 11:15:16,256,FAILED,VOICE,471695788-8,271767599-X,12.28333,-14.21667,Venice
7111,3560891267,3789546235,2015-12-15 04:29:25,256,REJECTED,VOICE,844420139-1,571980213-4,16.70008,104.0902,Genoa
6880,3569874512,3458611236,2015-08-10 08:54:09,122,ANSWERED,VOICE,029262958-3,844668969-3,-6.7044,111.348,Genoa
4641,3256867412,3999756035,2015-11-21 14:36:33,122,REJECTED,VOICE,888056295-9,401227030-3,-7.2825,107.9216,Naples
1361,3695847123,3568040046,2015-10-01 18:32:02,220,MISSED,SMS,887297309-0,251380759-6,51.93548,15.50643,Florence
4459,3698748211,3200056596,2015-12-27 02:13:56,356,BUSY,SMS,245193595-2,364015728-1,-7.0728,112.4799,Aosta
3867,3216549870,3458611236,2015-10-07 07:45:01,122,REJECTED,VOICE,771957245-9,881892238-6,-8.22047,114.19765,Rome
7678,3265978452,3899600054,2015-12-13 12:00:21,326,REJECTED,SMS,265543136-7,359795050-7,13.32583,-1.53472,Venice
3245,3216549870,3659000450,2015-09-06 17:01:51,356,REJECTED,VOICE,072049995-X,305442797-8,1.531,110.3442,Rome
8280,3256987456,3568900007,2015-08-01 18:00:56,326,MISSED,SMS,461851199-0,502332118-5,40.2966,-7.8668,Venice
6323,3695847123,3789546235,2015-08-20 02:16:37,326,ANSWERED,SMS,234086836-X,576676254-2,10.40788,-85.58836,Aosta
3021,3256987456,3899600054,2015-09-22 07:02:19,789,REJECTED,VOICE,014332843-3,983916672-7,-7.0282,108.3058,Venice
4143,3265978452,3900026678,2015-12-18 02:12:29,100,ANSWERED,SMS,118643777-4,715107055-1,55.00327,41.2971,Genoa
8004,3265978452,3568900007,2015-10-14 10:32:14,256,MISSED,VOICE,576523055-5,595662391-8,49.01636,-122.8026,Aosta
8564,3256867412,3689000589,2015-11-27 08:00:00,220,FAILED,VOICE,832170773-4,864966743-0,29.34313,105.28443,Aosta
4103,3216549870,3458611236,2015-12-29 06:20:02,789,FAILED,VOICE,019649112-6,314175971-5,50.58566,16.33181,Rome
1485,3659778412,3789546235,2015-08-12 14:11:56,456,FAILED,SMS,492777535-6,430344908-3,13.4685,120.9803,Genoa
9786,3265487965,3568900007,2015-08-25 13:36:55,356,MISSED,VOICE,834186559-9,169314666-5,23.02544,113.13026,Rome
4800,3987456213,3900026678,2015-09-28 09:29:44,356,FAILED,VOICE,431718621-7,400088612-6,46.63716,32.50719,Aosta
4179,3987456213,3659000450,2015-11-17 22:47:43,120,REJECTED,SMS,164005727-7,106001425-4,40.3227,-8.5922,Rome
5329,3569874514,3689000589,2015-11-03 08:22:46,456,REJECTED,VOICE,589186328-6,125451077-X,27.71889,110.385,Genoa
7491,3987456213,3458611236,2015-09-12 21:03:45,122,REJECTED,SMS,690592252-8,468065704-9,5.14079,10.52535,Milan
6587,3256867412,3458611236,2015-12-25 03:01:14,326,BUSY,VOICE,378112415-0,292154903-4,26.03849,119.30791,Rome
1161,3265487965,3999756035,2015-12-23 18:37:12,458,MISSED,SMS,423338864-1,601631748-9,5.69472,-76.66111,Naples
8860,3265978451,3568040046,2015-08-29 11:24:25,326,MISSED,SMS,125876201-3,126714950-7,-8.475,115.3238,Naples
7112,3265978451,3659000450,2015-12-25 22:38:39,256,MISSED,VOICE,556115042-1,718412036-1,28.01944,67.92083,Rome
5860,3569874514,3689000589,2015-10-31 11:54:59,780,ANSWERED,SMS,371546350-3,479826742-2,59.3987,18.0294,Aosta
6642,3265487965,3900026678,2015-10-16 08:00:54,120,MISSED,SMS,697070515-3,223533463-6,1.98329,-157.36526,Rome
6197,3256867412,3568900007,2015-10-18 22:02:21,455,MISSED,VOICE,830190089-X,746550342-6,41.49167,20.22194,Florence
6851,3265978451,3899600054,2015-09-24 17:04:59,326,ANSWERED,VOICE,151570617-6,339132218-7,1.35783,-77.52725,Rome
2730,3698748211,3568900007,2015-09-21 00:16:39,122,ANSWERED,VOICE,253688103-2,120414862-7,53.82361,91.28417,Genoa
3662,3265978451,3900026678,2015-09-20 23:11:50,120,FAILED,SMS,144326281-1,367334184-7,25.3833,-100,Naples
8140,3569874512,3900026678,2015-10-23 23:51:40,455,REJECTED,SMS,526546895-1,059240793-4,-28.46064,-62.83472,Genoa
5310,3698748211,3568900007,2015-11-06 05:01:12,356,MISSED,SMS,720455357-8,895690293-3,18.06833,120.54389,Aosta
2671,3569874512,3899600054,2015-12-09 17:59:43,120,MISSED,SMS,651972887-X,825163368-0,65.07537,-22.72977,Florence
6142,3569874514,3999756035,2015-08-23 12:14:08,256,ANSWERED,SMS,709813001-X,222346333-9,37.95895,22.80573,Naples
7262,3256867412,3789546235,2015-08-16 08:14:19,326,ANSWERED,VOICE,338236952-4,471467324-6,-4.23116,-69.93858,Venice
2537,3256987456,3659000450,2015-12-08 09:35:12,789,MISSED,VOICE,301137890-8,665147595-9,26.2409,118.24792,Rome
7125,3216549870,3999756035,2015-11-06 13:28:33,356,FAILED,SMS,753397921-4,508119518-9,39.20963,48.49186,Venice
9984,3569874512,3999756035,2015-12-13 08:39:22,456,ANSWERED,VOICE,625365863-8,361209470-X,-33.01529,27.91162,Venice
